loggingTime(txt),locationTimestamp_since1970(s),locationLatitude(WGS84),locationLongitude(WGS84),locationAltitude(m),locationSpeed(m/s),locationSpeedAccuracy(m/s),locationCourse(°),locationCourseAccuracy(°),locationVerticalAccuracy(m),locationHorizontalAccuracy(m),locationFloor(Z),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionAttitudeReferenceFrame(txt),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G),motionMagneticFieldX(µT),motionMagneticFieldY(µT),motionMagneticFieldZ(µT),motionHeading(°),motionMagneticFieldCalibrationAccuracy(Z),activityTimestamp_sinceReboot(s),activity(txt),activityActivityConfidence(Z),activityActivityStartDate(txt),pedometerStartDate(txt),pedometerNumberofSteps(N),pedometerAverageActivePace(s/m),pedometerCurrentPace(s/m),pedometerCurrentCadence(steps/s),pedometerDistance(m),pedometerFloorAscended(N),pedometerFloorDescended(N),pedometerEndDate(txt),altimeterTimestamp_sinceReboot(s),altimeterReset(bool),altimeterRelativeAltitude(m),altimeterPressure(kPa),batteryState(N),batteryLevel(R),heartRateBPMTimestamp(txt),heartRateBPM(N),heartRateBPS(R),heartRateVariabilityTimestamp(txt),heartRateVariability(ms)
2026-03-30T14:42:57.707-05:00,1774899777,30.28881182,-97.7375697,174.6237,0.1580935,0.07850529,244.2502968,180,3,8.27965148,-9999,135508.3387,0.821365356,0.25718689,-0.502532959,135508.3199,-3.091541062,1.021201963,-0.25969812,0.004727633,0.001479619,0.001136086,-0.00166297,0.003709137,0.003040612,XArbitraryZVertical,0.48160894,0.125059406,-0.866418668,-0.041611768,0.824142039,0.25678882,-0.50482595,0,0,0,-1,-1,135508.144,unknown,2,2026-03-30T14:42:57.511-05:00,2026-03-30T10:54:16.334-05:00,3835,1.354185,0,0,2585.694,4,4,2026-03-30T14:42:57.511-05:00,796592577.6,0,0.9100037,99.59038,1,0.9,2026-03-30T14:37:50.703-05:00,72,1.2,2026-03-30T12:48:13.834-05:00,0.123680593
2026-03-30T14:42:57.742-05:00,1774899777,30.28881182,-97.7375697,174.6237,0.1580935,0.07850529,244.2502968,180,3,8.27965148,-9999,135508.3726,0.82144165,0.257156372,-0.501434326,135508.35,-3.091609414,1.021245822,-0.259670278,-0.000159956,0.001307244,-0.000359359,-0.001828492,-0.001924962,0.0023368,XArbitraryZVertical,0.4816334,0.125030017,-0.866408065,-0.041637341,0.824170291,0.256761909,-0.504793525,0,0,0,-1,-1,135508.144,unknown,2,2026-03-30T14:42:57.511-05:00,2026-03-30T10:54:16.334-05:00,3835,1.354185,0,0,2585.694,4,4,2026-03-30T14:42:57.511-05:00,796592577.6,0,0.9100037,99.59038,1,0.9,2026-03-30T14:37:50.703-05:00,72,1.2,2026-03-30T12:48:13.834-05:00,0.123680593
2026-03-30T14:42:57.777-05:00,1774899777,30.28881182,-97.7375697,174.6237,0.1580935,0.07850529,244.2502968,180,3,8.27965148,-9999,135508.4066,0.823348999,0.250350952,-0.49546814,135508.3802,-3.091788823,1.021322722,-0.259538883,0.008209294,0.001220691,0.000219878,-0.003620267,-0.000287294,0.003694832,XArbitraryZVertical,0.481683455,0.124928488,-0.866392639,-0.041687814,0.824238002,0.256634891,-0.504747868,0,0,0,-1,-1,135508.144,unknown,2,2026-03-30T14:42:57.511-05:00,2026-03-30T10:54:16.334-05:00,3835,1.354185,0,0,2585.694,4,4,2026-03-30T14:42:57.511-05:00,796592577.6,0,0.9100037,99.59038,1,0.9,2026-03-30T14:37:50.703-05:00,72,1.2,2026-03-30T12:48:13.834-05:00,0.123680593
2026-03-30T14:42:57.812-05:00,1774899777,30.28881182,-97.7375697,174.6237,0.1580935,0.07850529,244.2502968,180,3,8.27965148,-9999,135508.4405,0.820831299,0.25328064,-0.503814697,135508.4103,-3.091742845,1.021309549,-0.259562601,-0.005616263,-0.002766356,-0.000362407,-0.000571966,-0.006184876,0.010202765,XArbitraryZVertical,0.481673889,0.124950076,-0.866395482,-0.04167287,0.824226081,0.256657839,-0.504755497,0,0,0,-1,-1,135508.144,unknown,2,2026-03-30T14:42:57.511-05:00,2026-03-30T10:54:16.334-05:00,3835,1.354185,0,0,2585.694,4,4,2026-03-30T14:42:57.511-05:00,796592577.6,0,0.9100037,99.59038,1,0.9,2026-03-30T14:37:50.703-05:00,72,1.2,2026-03-30T12:48:13.834-05:00,0.123680593
2026-03-30T14:42:57.842-05:00,1774899777,30.28881182,-97.7375697,174.6237,0.1580935,0.07850529,244.2502968,180,3,8.27965148,-9999,135508.4744,0.820922852,0.259353638,-0.509353638,135508.4405,-3.091634405,1.021266779,-0.259632917,-0.008960483,-0.002491128,-0.003825053,-0.002427101,-0.002743304,0.001821041,XArbitraryZVertical,0.481645597,0.125007432,-0.866404524,-0.041640348,0.824189126,0.256725788,-0.504781306,0,0,0,-1,-1,135508.144,unknown,2,2026-03-30T14:42:57.511-05:00,2026-03-30T10:54:16.334-05:00,3835,1.354185,0,0,2585.694,4,4,2026-03-30T14:42:57.511-05:00,796592577.6,0,0.9100037,99.59038,1,0.9,2026-03-30T14:37:50.703-05:00,72,1.2,2026-03-30T12:48:13.834-05:00,0.123680593
2026-03-30T14:42:57.878-05:00,1774899777,30.28881182,-97.7375697,174.6237,0.1580935,0.07850529,244.2502968,180,3,8.27965148,-9999,135508.5083,0.8228302,0.254684448,-0.500961304,135508.5008,-3.091575507,1.021324321,-0.259707231,0.001410932,0.001001049,0.000232475,-4.42E-05,-0.002159029,0.000893891,XArbitraryZVertical,0.481663707,0.125052496,-0.866388054,-0.041636555,0.824201882,0.256797612,-0.504723907,0,0,0,-1,-1,135508.144,unknown,2,2026-03-30T14:42:57.511-05:00,2026-03-30T10:54:16.334-05:00,3835,1.354185,0,0,2585.694,4,4,2026-03-30T14:42:57.511-05:00,796592577.6,0,0.9100037,99.59038,1,0.9,2026-03-30T14:37:50.703-05:00,72,1.2,2026-03-30T12:48:13.834-05:00,0.123680593
2026-03-30T14:42:57.913-05:00,1774899777,30.28881182,-97.7375697,174.6237,0.1580935,0.07850529,244.2502968,180,3,8.27965148,-9999,135508.5423,0.824295044,0.250900269,-0.497238159,135508.531,-3.091554102,1.021350025,-0.259725152,-0.006277881,-0.000795812,-0.001724213,-0.002937198,-0.002161115,0.00625664,XArbitraryZVertical,0.48167275,0.125064852,-0.86638137,-0.041633263,0.824210882,0.256814927,-0.504700303,0,0,0,-1,-1,135508.144,unknown,2,2026-03-30T14:42:57.511-05:00,2026-03-30T10:54:16.334-05:00,3835,1.354185,0,0,2585.694,4,4,2026-03-30T14:42:57.511-05:00,796592577.6,0,0.9100037,99.59038,1,0.9,2026-03-30T14:37:50.703-05:00,72,1.2,2026-03-30T12:48:13.834-05:00,0.123680593
2026-03-30T14:42:57.948-05:00,1774899777,30.28881182,-97.7375697,174.6237,0.1580935,0.07850529,244.2502968,180,3,8.27965148,-9999,135508.5762,0.82144165,0.25869751,-0.496887207,135508.5611,-3.091331288,1.021334753,-0.259904587,-0.007278808,-0.0022216,0.00060427,-0.001364291,8.94E-08,0.009251177,XArbitraryZVertical,0.481644562,0.125196273,-0.866380676,-0.041579501,0.824163914,0.256988347,-0.504688799,0,0,0,-1,-1,135508.144,unknown,2,2026-03-30T14:42:57.511-05:00,2026-03-30T10:54:16.334-05:00,3835,1.354185,0,0,2585.694,4,4,2026-03-30T14:42:57.511-05:00,796592577.6,0,0.9100037,99.59038,1,0.9,2026-03-30T14:37:50.703-05:00,72,1.2,2026-03-30T12:48:13.834-05:00,0.123680593
2026-03-30T14:42:57.979-05:00,1774899777,30.28881182,-97.7375697,174.6237,0.1580935,0.07850529,244.2502968,180,3,8.27965148,-9999,135508.6101,0.821929932,0.257247925,-0.500198364,135508.5913,-3.091231241,1.021285983,-0.25994413,-0.002944646,-0.003964359,0.000667019,-7.98E-05,0.000145018,0.006112218,XArbitraryZVertical,0.481615467,0.125238443,-0.866392611,-0.041542723,0.824130654,0.257026553,-0.504723728,0,0,0,-1,-1,135508.144,unknown,2,2026-03-30T14:42:57.511-05:00,2026-03-30T10:54:16.334-05:00,3835,1.354185,0,0,2585.694,4,4,2026-03-30T14:42:57.511-05:00,796592577.6,0,0.9100037,99.59038,1,0.9,2026-03-30T14:37:50.703-05:00,72,1.2,2026-03-30T12:48:13.834-05:00,0.123680593
2026-03-30T14:42:58.013-05:00,1774899777,30.28881182,-97.7375697,174.6237,0.1580935,0.07850529,244.2502968,180,3,8.27965148,-9999,135508.644,0.822723389,0.258850098,-0.502410889,135508.6214,-3.091175176,1.021274222,-0.259954959,-0.000766824,-0.00048812,0.0008739,-0.003230095,-1.80E-05,0.003099203,XArbitraryZVertical,0.481606401,0.125256862,-0.866396063,-0.041520338,0.824122369,0.257037014,-0.504732013,0,0,0,-1,-1,135508.144,unknown,2,2026-03-30T14:42:57.511-05:00,2026-03-30T10:54:16.334-05:00,3835,1.354185,0,0,2585.694,4,4,2026-03-30T14:42:57.511-05:00,796592577.6,0,0.9100037,99.59038,1,0.9,2026-03-30T14:37:50.703-05:00,72,1.2,2026-03-30T12:48:13.834-05:00,0.123680593
