,C:\Users\jib746\Downloads\HS_data\Trial_Good1_FinalProject_filt_0.c3d,C:\Users\jib746\Downloads\HS_data\Trial_Good1_FinalProject_filt_0.c3d,C:\Users\jib746\Downloads\HS_data\Trial_Good1_FinalProject_filt_0.c3d,C:\Users\jib746\Downloads\HS_data\Trial_Good1_FinalProject_filt_0.c3d,C:\Users\jib746\Downloads\HS_data\Trial_Good1_FinalProject_filt_0.c3d,C:\Users\jib746\Downloads\HS_data\Trial_Good1_FinalProject_filt_0.c3d,C:\Users\jib746\Downloads\HS_data\Trial_Good1_FinalProject_filt_0.c3d,C:\Users\jib746\Downloads\HS_data\Trial_Good1_FinalProject_filt_0.c3d,C:\Users\jib746\Downloads\HS_data\Trial_Good1_FinalProject_filt_0.c3d,C:\Users\jib746\Downloads\HS_data\Trial_Good1_FinalProject_filt_0.c3d,C:\Users\jib746\Downloads\HS_data\Trial_Good1_FinalProject_filt_0.c3d,C:\Users\jib746\Downloads\HS_data\Trial_Good1_FinalProject_filt_0.c3d,C:\Users\jib746\Downloads\HS_data\Trial_Good1_FinalProject_filt_0.c3d,C:\Users\jib746\Downloads\HS_data\Trial_Good1_FinalProject_filt_0.c3d,C:\Users\jib746\Downloads\HS_data\Trial_Good1_FinalProject_filt_0.c3d,C:\Users\jib746\Downloads\HS_data\Trial_Good1_FinalProject_filt_0.c3d,C:\Users\jib746\Downloads\HS_data\Trial_Good1_FinalProject_filt_0.c3d,C:\Users\jib746\Downloads\HS_data\Trial_Good1_FinalProject_filt_0.c3d,C:\Users\jib746\Downloads\HS_data\Trial_Good1_FinalProject_filt_0.c3d,C:\Users\jib746\Downloads\HS_data\Trial_Good1_FinalProject_filt_0.c3d,C:\Users\jib746\Downloads\HS_data\Trial_Good1_FinalProject_filt_0.c3d,C:\Users\jib746\Downloads\HS_data\Trial_Good1_FinalProject_filt_0.c3d,C:\Users\jib746\Downloads\HS_data\Trial_Good1_FinalProject_filt_0.c3d,C:\Users\jib746\Downloads\HS_data\Trial_Good1_FinalProject_filt_0.c3d
,L_Hip_Accel,L_Hip_Accel,L_Hip_Accel,L_Hip_Angle,L_Hip_Angle,L_Hip_Angle,L_Knee_Accel,L_Knee_Accel,L_Knee_Accel,L_Knee_Angle,L_Knee_Angle,L_Knee_Angle,R_Hip_Accel,R_Hip_Accel,R_Hip_Accel,R_Hip_Angle,R_Hip_Angle,R_Hip_Angle,R_Knee_Accel,R_Knee_Accel,R_Knee_Accel,R_Knee_Angle,R_Knee_Angle,R_Knee_Angle
,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED
,ORIGINAL,ORIGINAL,ORIGINAL,ORIGINAL,ORIGINAL,ORIGINAL,ORIGINAL,ORIGINAL,ORIGINAL,ORIGINAL,ORIGINAL,ORIGINAL,ORIGINAL,ORIGINAL,ORIGINAL,ORIGINAL,ORIGINAL,ORIGINAL,ORIGINAL,ORIGINAL,ORIGINAL,ORIGINAL,ORIGINAL,ORIGINAL
ITEM,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
