loggingTime(txt),locationTimestamp_since1970(s),locationLatitude(WGS84),locationLongitude(WGS84),locationAltitude(m),locationSpeed(m/s),locationSpeedAccuracy(m/s),locationCourse(°),locationCourseAccuracy(°),locationVerticalAccuracy(m),locationHorizontalAccuracy(m),locationFloor(Z),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionAttitudeReferenceFrame(txt),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G),motionMagneticFieldX(µT),motionMagneticFieldY(µT),motionMagneticFieldZ(µT),motionHeading(°),motionMagneticFieldCalibrationAccuracy(Z),activityTimestamp_sinceReboot(s),activity(txt),activityActivityConfidence(Z),activityActivityStartDate(txt),pedometerStartDate(txt),pedometerNumberofSteps(N),pedometerAverageActivePace(s/m),pedometerCurrentPace(s/m),pedometerCurrentCadence(steps/s),pedometerDistance(m),pedometerFloorAscended(N),pedometerFloorDescended(N),pedometerEndDate(txt),altimeterTimestamp_sinceReboot(s),altimeterReset(bool),altimeterRelativeAltitude(m),altimeterPressure(kPa),batteryState(N),batteryLevel(R),heartRateBPMTimestamp(txt),heartRateBPM(N),heartRateBPS(R),heartRateVariabilityTimestamp(txt),heartRateVariability(ms)
2026-03-30T14:39:59.162-05:00,1774899598.768516,30.28870849192032,-97.73750388094332,174.3306,0.3348482,0.4546488,-1,-1,3,20.30515479048169,-9999,135329.7925215,0.7424468994140625,0.39764404296875,-0.530792236328125,135329.7699055,-3.03574445613593,0.9475147561325713,-0.4080324728997351,0.003851141780614853,-0.00127593195065856,0.002876782789826393,-0.003226876258850098,-0.001357376575469971,0.006440043449401855,XArbitraryZVertical,0.4366083880303703,0.2036706626121463,-0.8750749275303336,-0.04620836199029392,0.7453075051307678,0.3968040943145752,-0.5357827544212341,0,0,0,-1,-1,135295.5958457917,walking,2,2026-03-30T14:39:18.784-05:00,2026-03-30T10:54:16.334-05:00,3789,1.345529,0,0,2555.308,4,4,2026-03-30T14:39:52.236-05:00,796592397.4437155,0,-0.3199997,99.60518,1,0.9,2026-03-30T14:37:50.703-05:00,72,1.2,2026-03-30T12:48:13.834-05:00,0.1236805929763694
2026-03-30T14:39:59.197-05:00,1774899598.768516,30.28870849192032,-97.73750388094332,174.3306,0.3348482,0.4546488,-1,-1,3,20.30515479048169,-9999,135329.8264465,0.742767333984375,0.396514892578125,-0.5319976806640625,135329.8000615,-3.03581284849817,0.9474061321431203,-0.4078897261276557,0.0005972024518996477,0.0003148992545902729,0.001026414334774017,-0.003748714923858643,0.0008183121681213379,0.005195975303649902,XArbitraryZVertical,0.4365776966639617,0.2035964807619507,-0.8751082331184182,-0.04619470138666757,0.7452953457832336,0.3966730535030365,-0.5358967781066895,0,0,0,-1,-1,135295.5958457917,walking,2,2026-03-30T14:39:18.784-05:00,2026-03-30T10:54:16.334-05:00,3789,1.345529,0,0,2555.308,4,4,2026-03-30T14:39:52.236-05:00,796592397.4437155,0,-0.3199997,99.60518,1,0.9,2026-03-30T14:37:50.703-05:00,72,1.2,2026-03-30T12:48:13.834-05:00,0.1236805929763694
2026-03-30T14:39:59.232-05:00,1774899598.768516,30.28870849192032,-97.73750388094332,174.3306,0.3348482,0.4546488,-1,-1,3,20.30515479048169,-9999,135329.8603725,0.7418975830078125,0.3972930908203125,-0.5331573486328125,135329.8302165,-3.035800074566114,0.947360213556557,-0.4079039383406499,-0.0003215435426682234,-0.0006818915717303753,-0.001808081171475351,-0.002254724502563477,-0.000613778829574585,0.003975749015808105,XArbitraryZVertical,0.4365553121113925,0.2036064764261822,-0.8751174808264517,-0.04618766211275141,0.7452661395072937,0.3966861069202423,-0.5359277129173279,0,0,0,-1,-1,135295.5958457917,walking,2,2026-03-30T14:39:18.784-05:00,2026-03-30T10:54:16.334-05:00,3789,1.345529,0,0,2555.308,4,4,2026-03-30T14:39:52.236-05:00,796592397.4437155,0,-0.3199997,99.60518,1,0.9,2026-03-30T14:37:50.703-05:00,72,1.2,2026-03-30T12:48:13.834-05:00,0.1236805929763694
2026-03-30T14:39:59.262-05:00,1774899598.768516,30.28870849192032,-97.73750388094332,174.3306,0.3348482,0.4546488,-1,-1,3,20.30515479048169,-9999,135329.8942955,0.74041748046875,0.395538330078125,-0.5334930419921875,135329.8603725,-3.035868406282684,0.9473616854108076,-0.4078421079365439,0.001196169760078192,0.003173804841935635,0.001424079178832471,-0.002550065517425537,0.003044039011001587,0.002997159957885742,XArbitraryZVertical,0.4365671969186376,0.2035647767552394,-0.8751203752532362,-0.04620363869991687,0.7452868223190308,0.3966293632984161,-0.535940945148468,0,0,0,-1,-1,135295.5958457917,walking,2,2026-03-30T14:39:18.784-05:00,2026-03-30T10:54:16.334-05:00,3789,1.345529,0,0,2555.308,4,4,2026-03-30T14:39:52.236-05:00,796592397.4437155,0,-0.3199997,99.60518,1,0.9,2026-03-30T14:37:50.703-05:00,72,1.2,2026-03-30T12:48:13.834-05:00,0.1236805929763694
2026-03-30T14:39:59.298-05:00,1774899598.768516,30.28870849192032,-97.73750388094332,174.3306,0.3348482,0.4546488,-1,-1,3,20.30515479048169,-9999,135329.9282215,0.7403106689453125,0.3907470703125,-0.53411865234375,135329.9206835,-3.036069152929123,0.947326248353861,-0.4076393850596137,0.006989188492298126,0.000781418289989233,-0.0006463425816036761,-0.00415271520614624,-0.001377999782562256,0.001590371131896973,XArbitraryZVertical,0.4365861313193911,0.2034340599096429,-0.8751393022626733,-0.04624169764595963,0.7453330755233765,0.396443247795105,-0.5360142588615417,0,0,0,-1,-1,135295.5958457917,walking,2,2026-03-30T14:39:18.784-05:00,2026-03-30T10:54:16.334-05:00,3789,1.345529,0,0,2555.308,4,4,2026-03-30T14:39:52.236-05:00,796592397.4437155,0,-0.3199997,99.60518,1,0.9,2026-03-30T14:37:50.703-05:00,72,1.2,2026-03-30T12:48:13.834-05:00,0.1236805929763694
2026-03-30T14:39:59.333-05:00,1774899598.768516,30.28870849192032,-97.73750388094332,174.3306,0.3348482,0.4546488,-1,-1,3,20.30515479048169,-9999,135329.9621465,0.7415313720703125,0.3941192626953125,-0.5357208251953125,135329.9508385,-3.036079740081765,0.9473136663404466,-0.4076616423081879,-0.0007342002354562283,-5.467655137181282e-05,-0.0002421803510515019,-0.001361727714538574,-0.004755407571792603,0.002937376499176025,XArbitraryZVertical,0.4365801813923006,0.203441674755472,-0.8751399925025433,-0.04625014362589221,0.745319128036499,0.3964636921882629,-0.536018431186676,0,0,0,-1,-1,135295.5958457917,walking,2,2026-03-30T14:39:18.784-05:00,2026-03-30T10:54:16.334-05:00,3789,1.345529,0,0,2555.308,4,4,2026-03-30T14:39:52.236-05:00,796592397.4437155,0,-0.3199997,99.60518,1,0.9,2026-03-30T14:37:50.703-05:00,72,1.2,2026-03-30T12:48:13.834-05:00,0.1236805929763694
2026-03-30T14:39:59.370-05:00,1774899598.768516,30.28870849192032,-97.73750388094332,174.3306,0.3348482,0.4546488,-1,-1,3,20.30515479048169,-9999,135329.9960715,0.743804931640625,0.3935089111328125,-0.534454345703125,135329.9809945,-3.036057311923049,0.9473252157138595,-0.4076765408504209,-0.001491181785240769,-0.000893530435860157,-8.929801697377115e-05,-0.001729369163513184,-0.004814863204956055,0.002025067806243896,XArbitraryZVertical,0.4365819145193139,0.2034527475558024,-0.8751368689143763,-0.04624488431319596,0.7453205585479736,0.3964773714542389,-0.5360064506530762,0,0,0,-1,-1,135295.5958457917,walking,2,2026-03-30T14:39:18.784-05:00,2026-03-30T10:54:16.334-05:00,3789,1.345529,0,0,2555.308,4,4,2026-03-30T14:39:52.236-05:00,796592397.4437155,0,-0.3199997,99.60518,1,0.9,2026-03-30T14:37:50.703-05:00,72,1.2,2026-03-30T12:48:13.834-05:00,0.1236805929763694
2026-03-30T14:39:59.399-05:00,1774899598.768516,30.28870849192032,-97.73750388094332,174.3306,0.3348482,0.4546488,-1,-1,3,20.30515479048169,-9999,135330.0299955,0.743988037109375,0.3950653076171875,-0.5328826904296875,135330.0111495,-3.036009406719836,0.9473375933242006,-0.4077213929449344,-0.002984682563692331,0.00132538890466094,-0.0008140075951814651,-0.002499759197235107,-0.0002020597457885742,0.003607630729675293,XArbitraryZVertical,0.4365793386669159,0.2034823208561845,-0.8751318539469743,-0.04623537126935976,0.7453128099441528,0.3965185284614563,-0.5359868407249451,0,0,0,-1,-1,135295.5958457917,walking,2,2026-03-30T14:39:18.784-05:00,2026-03-30T10:54:16.334-05:00,3789,1.345529,0,0,2555.308,4,4,2026-03-30T14:39:52.236-05:00,796592397.4437155,0,-0.3199997,99.60518,1,0.9,2026-03-30T14:37:50.703-05:00,72,1.2,2026-03-30T12:48:13.834-05:00,0.1236805929763694
2026-03-30T14:39:59.433-05:00,1774899598.768516,30.28870849192032,-97.73750388094332,174.3306,0.3348482,0.4546488,-1,-1,3,20.30515479048169,-9999,135330.0639205,0.7429962158203125,0.39495849609375,-0.5302581787109375,135330.0413055,-3.035926383891236,0.9473927818192797,-0.4077797423750336,-0.0005390571895986795,0.0006002944428473711,-0.002642500214278698,-0.001366138458251953,-0.00179678201675415,0.00414806604385376,XArbitraryZVertical,0.4365910025080775,0.2035244145217261,-0.8751171820224274,-0.04621794565960534,0.7453235983848572,0.3965721130371094,-0.5359322428703308,0,0,0,-1,-1,135295.5958457917,walking,2,2026-03-30T14:39:18.784-05:00,2026-03-30T10:54:16.334-05:00,3789,1.345529,0,0,2555.308,4,4,2026-03-30T14:39:52.236-05:00,796592397.4437155,0,-0.3199997,99.60518,1,0.9,2026-03-30T14:37:50.703-05:00,72,1.2,2026-03-30T12:48:13.834-05:00,0.1236805929763694
2026-03-30T14:39:59.469-05:00,1774899598.768516,30.28870849192032,-97.73750388094332,174.3306,0.3348482,0.4546488,-1,-1,3,20.30515479048169,-9999,135330.0978465,0.740325927734375,0.3953094482421875,-0.531890869140625,135330.0714605,-3.035945097726187,0.9473958878640151,-0.4077577182597867,-0.0008095011580735445,6.820820271968842e-05,-0.0004111389280296862,-0.001878440380096436,-0.001669764518737793,0.004761219024658203,XArbitraryZVertical,0.436595789183832,0.2035107283723308,-0.8751177893158343,-0.04622143402826991,0.7453323602676392,0.3965518772602081,-0.5359349846839905,0,0,0,-1,-1,135295.5958457917,walking,2,2026-03-30T14:39:18.784-05:00,2026-03-30T10:54:16.334-05:00,3789,1.345529,0,0,2555.308,4,4,2026-03-30T14:39:52.236-05:00,796592397.4437155,0,-0.3199997,99.60518,1,0.9,2026-03-30T14:37:50.703-05:00,72,1.2,2026-03-30T12:48:13.834-05:00,0.1236805929763694
